Time,BlockedArrivalTime,BufferUtilizationMean,CraneManipulations,CraneUtilizationMean,DeliveredBlocks,HandoverUtilizationMean,LeadTimeMean,ServiceLevelMean,TardinessMean,TotalBlocksOnTime,UpstreamUtilizationMean
0,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,0.0
1000,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,1.0
2000,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,1.0
3000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
4000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
5000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
6000,0.0,0.7066668293356884,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
7000,0.0,0.7066668293356884,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
8000,0.0,0.7022437577855075,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
9000,0.0,0.7031824861795563,1,0.9927298404451198,0,0.0,0.0,0.0,0.0,35,1.0
10000,0.0,0.7031824861795563,1,0.890962080834407,0,0.0,0.0,0.0,0.0,35,1.0
11000,0.0,0.7031824861795563,1,0.8081193090823345,0,0.0,0.0,0.0,0.0,35,1.0
12000,0.0,0.7031824861795563,1,0.8244428345187725,0,0.0,0.0,0.0,0.0,35,1.0
13000,0.0,0.7035809171291035,2,0.8382067817935381,0,0.0,0.0,0.0,0.0,35,1.0
14000,0.0,0.7035809171291035,2,0.8499694071679122,0,0.0,0.0,0.0,0.0,35,1.0
15000,0.0,0.7016531938033368,2,0.8601376251994598,0,0.0,0.0,0.0,0.0,35,1.0
16000,0.0,0.7020917825194543,2,0.8533214648232902,0,0.0,0.0,0.0,0.0,35,1.0
17000,0.0,0.7020917825194543,2,0.8023916648403306,0,0.0,0.0,0.0,0.0,35,1.0
18000,0.0,0.7020917825194543,2,0.7571988643557572,0,0.0,0.0,0.0,0.0,35,1.0
19000,0.0,0.7020917825194543,2,0.7690255686313988,0,0.0,0.0,0.0,0.0,35,1.0
20000,0.0,0.7032887408426289,3,0.7807176017886438,0,0.0,0.0,0.0,0.0,35,1.0
21000,0.0,0.7025979956946709,3,0.7912829556610752,0,0.0,0.0,0.0,0.0,35,1.0
22000,0.0,0.7025979956946709,3,0.8008769995995377,0,0.0,0.0,0.0,0.0,35,1.0
23000,0.0,0.7025979956946709,3,0.8096277910965466,0,0.0,0.0,0.0,0.0,35,1.0
24000,0.0,0.7005523343754066,3,0.817641824475804,0,0.0,0.0,0.0,0.0,35,1.0
25000,0.0,0.7008730881873805,3,0.8084593301613227,0,0.0,0.0,0.0,0.0,35,1.0
26000,0.0,0.7008730881873805,3,0.7770687710309854,0,0.0,0.0,0.0,0.0,35,1.0
27000,0.0,0.7008730881873805,3,0.7480247436203731,0,0.0,0.0,0.0,0.0,35,1.0
28000,0.0,0.7008730881873805,3,0.7567817826185083,0,0.0,0.0,0.0,0.0,35,1.0
29000,0.0,0.7008730881873805,3,0.7652401180517128,0,0.0,0.0,0.0,0.0,35,1.0
30000,0.0,0.7008730881873805,3,0.7731299186929355,0,0.0,0.0,0.0,0.0,35,1.0
31000,0.0,0.702294196863719,4,0.7805066425932868,0,0.0,0.0,0.0,0.0,35,1.0
32000,0.0,0.7017661778283975,4,0.7874187620312308,0,0.0,0.0,0.0,0.0,35,1.0
33000,0.0,0.7011231612384823,4,0.7939088298846437,0,0.0,0.0,0.0,0.0,35,1.0
34000,0.0,0.7011231612384823,4,0.8000143564528909,0,0.0,0.0,0.0,0.0,35,1.0
35000,0.0,0.7013445617394711,4,0.7779465896794395,0,0.0,0.0,0.0,0.0,35,1.0
36000,0.0,0.7013445617394711,4,0.7561888013197426,0,0.0,0.0,0.0,0.0,35,1.0
37000,0.0,0.7013445617394711,4,0.7356149538444664,0,0.0,0.0,0.0,0.0,35,1.0
38000,0.0,0.7013445617394711,4,0.742617630431434,0,0.0,0.0,0.0,0.0,36,1.0
39000,0.0,0.7013445617394711,4,0.7492589238365384,0,0.0,0.0,0.0,0.0,36,1.0
40000,0.0,0.7022442957511809,5,0.7555661049306784,0,0.0,0.0,0.0,0.0,36,1.0
41000,0.0,0.7017264246750547,5,0.7615637680084064,0,0.0,0.0,0.0,0.0,36,1.0
42000,0.0,0.7017264246750547,5,0.7672741512987139,0,0.0,0.0,0.0,0.0,36,1.0
43000,0.0,0.7017264246750547,5,0.7727174124969574,0,0.0,0.0,0.0,0.0,36,1.0
44000,0.0,0.7017264246750547,5,0.7779118665137422,0,0.0,0.0,0.0,0.0,36,1.0
45000,0.0,0.7005605282720139,5,0.7828741913503199,1,1.0,998.108,1.0,0.0,36,1.0
46000,0.0,0.7005605282720139,5,0.7876196069767986,1,1.0,998.108,1.0,0.0,36,1.0
47000,0.0,0.6999166239921009,5,0.7789992637342315,1,1.0,998.108,1.0,0.0,36,1.0
48000,0.0,0.6999166239921009,5,0.7626868019453354,1,1.0,998.108,1.0,0.0,36,1.0
49000,0.0,0.6999166239921009,5,0.7470435027025824,1,1.0,998.108,1.0,0.0,36,1.0
50000,0.0,0.6999166239921009,5,0.7519437178152021,1,0.9930012000179198,998.108,1.0,0.0,36,1.0
51000,0.0,0.6999166239921009,5,0.7568310586872715,1,0.9734931997550725,998.108,1.0,0.0,36,1.0
52000,0.0,0.6999166239921009,5,0.7615295345426141,1,0.9547369202156512,998.108,1.0,0.0,36,1.0
53000,0.0,0.6999166239921009,5,0.7660498855309171,1,0.9366897325518155,998.108,1.0,0.0,36,1.0
54000,0.0,0.6999166239921009,5,0.7704020526071174,1,0.91931217133425,998.108,1.0,0.0,36,1.0
55000,0.0,0.6999166239921009,5,0.7745952505107495,1,0.9025676464566625,998.108,1.0,0.0,36,1.0
56000,0.0,0.6978526558330841,6,0.7786380328917003,1,0.8864221859616297,998.108,1.0,0.0,36,1.0
57000,0.0,0.6978526558330841,6,0.7825383505510086,1,0.8708442059839078,998.108,1.0,0.0,36,1.0
58000,0.0,0.6974719746976452,6,0.7863036036311823,1,0.8558043045328868,998.108,1.0,0.0,36,1.0
59000,0.0,0.6974719746976452,6,0.7899406884768811,1,0.8412750762811206,998.108,1.0,0.0,36,1.0
60000,0.0,0.6971696324705212,6,0.7934560397903061,1,0.8272309459042267,998.108,1.0,0.0,36,1.0
61000,0.0,0.6973794991122826,6,0.7919649435100301,1,0.8136480178398913,998.108,1.0,0.0,36,1.0
62000,0.0,0.6973794991122826,6,0.779140608796821,1,0.8005039406092846,998.108,1.0,0.0,36,1.0
63000,0.0,0.6973794991122826,6,0.7667249861907103,1,0.7877777840803253,998.108,1.0,0.0,36,1.0
64000,0.0,0.6973794991122826,6,0.7692932143082561,1,0.7754499282551138,998.108,1.0,0.0,36,1.0
65000,0.0,0.6973794991122826,6,0.7728559862753769,1,0.7635019623386028,998.108,1.0,0.0,36,1.0
66000,0.0,0.6973794991122826,6,0.7763103929540961,1,0.7519165929964509,998.108,1.0,0.0,36,1.0
67000,0.0,0.6983462254406313,7,0.7796613043401667,1,0.7406775608405952,998.108,1.0,0.0,36,1.0
68000,0.0,0.6983462254406313,7,0.7829133029225241,1,0.729769564294351,998.108,1.0,0.0,36,1.0
69000,0.0,0.6981110075165442,7,0.7860707045913965,1,0.7191781900873294,998.108,1.0,0.0,36,1.0
70000,0.0,0.6981110075165442,7,0.7891375777479923,1,0.7088898497162641,998.108,1.0,0.0,36,1.0
71000,0.0,0.6976748468422326,7,0.7921177607936903,1,0.6988917212827483,998.108,1.0,0.0,37,1.0
72000,0.0,0.6976748468422326,7,0.7950148781568178,1,0.6891716961844152,998.108,1.0,0.0,37,1.0
73000,0.0,0.6978314695770161,7,0.7845046989028472,1,0.6797183301935403,998.108,1.0,0.0,37,1.0
74000,0.0,0.6978314695770161,7,0.7738680474137188,1,0.6705207985074904,998.108,1.0,0.0,37,1.0
75000,0.0,0.6978314695770161,7,0.7635159701197205,1,0.6615688543998279,998.108,1.0,0.0,37,1.0
76000,0.0,0.6978314695770161,7,0.7665199627598792,1,0.6528527911400073,998.108,1.0,0.0,37,1.0
77000,0.0,0.6978314695770161,7,0.7695618554740042,1,0.6443634068841375,998.108,1.0,0.0,37,1.0
78000,0.0,0.6985531316121021,8,0.7725255050308371,1,0.6360919722698453,998.108,1.0,0.0,37,1.0
79000,0.0,0.6987292175398558,8,0.7754138919382954,1,0.6280302004753358,998.108,1.0,0.0,37,1.0
80000,0.0,0.6987292175398558,8,0.778229847220839,1,0.6201702195267714,998.108,1.0,0.0,37,1.0
81000,0.0,0.6987292175398558,8,0.7809760616748548,1,0.6125045466594341,998.108,1.0,0.0,37,1.0
82000,0.0,0.6992628341805139,8,0.7807801997718645,1,0.6050260645571387,998.108,1.0,0.0,37,1.0
83000,0.0,0.6992628341805139,8,0.7713453431663275,1,0.5977279993113049,998.108,1.0,0.0,37,1.0
